run_number,kind,target,repeat,glyph_count,smart_base_count,elapsed_seconds,status,font_size,log_file
1,control,no_smart,1,1685,0,3.558,ok,290624,logs/001_control_no_smart_r1.log
2,control,no_smart,2,1685,0,2.906,ok,290624,logs/002_control_no_smart_r2.log
3,control,all_glyphs,1,2621,81,38.514,ok,597452,logs/003_control_all_glyphs_r1.log
4,family,family_01__smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1902,16,25.269,ok,320216,logs/004_family_family_01__smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bo_r1.log
5,family,family_02__LC-ligature-dotlessi+_LC-ligature-udieresis+_part.LC-ascender-left-side-grave-stroke+_part.LC-ascender-left-side-hook+_part.LC-baseline-right-outserif+_part.LC-baseline-stroke+_part.LC-descender-stem+_part.LC-f-bar+_part.LC-left-bowl+_part.LC-n-shoulder-top+_part.LC-xheight-left-inserif,1,1837,11,3.487,ok,323676,logs/005_family_family_02__LC-ligature-dotlessi__LC-ligature-udieresis__part.LC-ascender-left-side-grave-stroke__par_r1.log
6,family,family_03__ArrowTab+_smart.Arrow.mid+_smart.ArrowHead+_smart.ArrowHead.top+_smart.DoubleArrow.mid+_smart.FrombarArrow+_smart.VerticalArrow.mid,1,1932,7,14.442,ok,445688,logs/006_family_family_03__ArrowTab__smart.Arrow.mid__smart.ArrowHead__smart.ArrowHead.top__smart.DoubleArrow.mid__s_r1.log
7,family,family_04__part.UC-T-lower-stem-italic+_part.UC-T-top-bar-italic+_part.UC-T-upper-stroke,1,1690,3,2.914,ok,292488,logs/007_family_family_04__part.UC-T-lower-stem-italic__part.UC-T-top-bar-italic__part.UC-T-upper-stroke_r1.log
8,family,family_05__LC-baseline-outstroke+_part.LC-n-shoulder-top-italic,1,1693,2,2.922,ok,297240,logs/008_family_family_05__LC-baseline-outstroke__part.LC-n-shoulder-top-italic_r1.log
9,family,family_06__part.LC-baseline-lower-stem+_part.LC-xheight-upper-stem,1,1688,2,2.972,ok,290624,logs/009_family_family_06__part.LC-baseline-lower-stem__part.LC-xheight-upper-stem_r1.log
10,family,family_07__part.UC-T-lower-stem+_part.UC-T-top-bar,1,1689,2,2.989,ok,293148,logs/010_family_family_07__part.UC-T-lower-stem__part.UC-T-top-bar_r1.log
11,family,family_08__smart.coproduct+_smart.product,1,1730,2,3.255,ok,290624,logs/011_family_family_08__smart.coproduct__smart.product_r1.log
12,base,_ArrowTab,1,1689,1,2.938,ok,290624,logs/012_base_ArrowTab_r1.log
13,base,_LC-baseline-outstroke,1,1686,1,2.911,ok,290624,logs/013_base_LC-baseline-outstroke_r1.log
14,base,_LC-ligature-dotlessi,1,1686,1,2.923,ok,290632,logs/014_base_LC-ligature-dotlessi_r1.log
