run_number,kind,target,repeat,glyph_count,smart_base_count,elapsed_seconds,status,font_size,log_file
1,focused,baseline,1,1685,0,3.589,ok,290624,logs/001_focused_baseline_r1.log
2,focused,baseline_plus_smart_minus,1,1692,1,3.03,ok,290624,logs/002_focused_baseline_plus_smart_minus_r1.log
3,focused,baseline,2,1685,0,2.943,ok,290624,logs/003_focused_baseline_r2.log
4,focused,baseline_plus_smart_minus,2,1692,1,2.952,ok,290624,logs/004_focused_baseline_plus_smart_minus_r2.log
5,focused,baseline,3,1685,0,2.932,ok,290624,logs/005_focused_baseline_r3.log
6,focused,baseline_plus_smart_minus,3,1692,1,2.96,ok,290624,logs/006_focused_baseline_plus_smart_minus_r3.log
7,focused,baseline,4,1685,0,2.971,ok,290624,logs/007_focused_baseline_r4.log
8,focused,baseline_plus_smart_minus,4,1692,1,2.994,ok,290624,logs/008_focused_baseline_plus_smart_minus_r4.log
9,focused,baseline,5,1685,0,3.103,ok,290624,logs/009_focused_baseline_r5.log
10,focused,baseline_plus_smart_minus,5,1692,1,3.061,ok,290624,logs/010_focused_baseline_plus_smart_minus_r5.log
