run_number,kind,target,repeat,glyph_count,smart_base_count,elapsed_seconds,status,font_size,log_file
1,focused,baseline,1,1685,0,3.12,ok,290624,logs/001_focused_baseline_r1.log
2,focused,baseline_plus__smart.multiply,1,1714,2,7.497,ok,290624,logs/002_focused_baseline_plus__smart.multiply_r1.log
3,focused,baseline,2,1685,0,3.351,ok,290624,logs/003_focused_baseline_r2.log
4,focused,baseline_plus__smart.multiply,2,1714,2,8.089,ok,290624,logs/004_focused_baseline_plus__smart.multiply_r2.log
5,focused,baseline,3,1685,0,3.344,ok,290624,logs/005_focused_baseline_r3.log
6,focused,baseline_plus__smart.multiply,3,1714,2,8.24,ok,290624,logs/006_focused_baseline_plus__smart.multiply_r3.log
7,focused,baseline,4,1685,0,3.05,ok,290624,logs/007_focused_baseline_r4.log
8,focused,baseline_plus__smart.multiply,4,1714,2,7.996,ok,290624,logs/008_focused_baseline_plus__smart.multiply_r4.log
9,focused,baseline,5,1685,0,3.029,ok,290624,logs/009_focused_baseline_r5.log
10,focused,baseline_plus__smart.multiply,5,1714,2,7.994,ok,290624,logs/010_focused_baseline_plus__smart.multiply_r5.log
