run_number,kind,target,repeat,glyph_count,smart_base_count,elapsed_seconds,status,font_size,log_file
1,checkpoint,no_smart_01,1,1685,0,3.144,ok,290624,logs/001_checkpoint_no_smart_01_r1.log
2,full_family,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1902,16,25.236,ok,320216,logs/002_full_family_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
3,full_family,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,2,1902,16,25.299,ok,320216,logs/003_full_family_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r2.log
4,pair,math___smart.multiply+_smart.multiply.circled,1,1685,2,2.927,ok,290624,logs/004_pair_math___smart.multiply__smart.multiply.circled_r1.log
5,pair,math___smart.contourIntegral+_smart.multiply,1,1685,2,2.916,ok,290624,logs/005_pair_math___smart.contourIntegral__smart.multiply_r1.log
6,pair,math___smart.integral.bottom+_smart.multiply,1,1686,2,2.974,ok,290624,logs/006_pair_math___smart.integral.bottom__smart.multiply_r1.log
7,pair,math___smart.plus.circled+_smart.plus.circled.001,1,1685,2,2.931,ok,290624,logs/007_pair_math___smart.plus.circled__smart.plus.circled.001_r1.log
8,pair,math___smart.circle+_smart.plus.001,1,1689,2,2.959,ok,291940,logs/008_pair_math___smart.circle__smart.plus.001_r1.log
9,pair,math___smart.plus+_smart.plus.circled,1,1685,2,2.952,ok,290624,logs/009_pair_math___smart.plus__smart.plus.circled_r1.log
10,pair,math___smart.integral+_smart.operator.circled,1,1685,2,2.907,ok,290624,logs/010_pair_math___smart.integral__smart.operator.circled_r1.log
11,pair,math___smart.integral.bottom+_smart.operator.circled,1,1686,2,2.915,ok,290624,logs/011_pair_math___smart.integral.bottom__smart.operator.circled_r1.log
12,pair,math___smart.circle+_smart.integral.bottom,1,1690,2,2.907,ok,291940,logs/012_pair_math___smart.circle__smart.integral.bottom_r1.log
13,pair,math___smart.integral.bottom+_smart.plus.001,1,1686,2,2.909,ok,290624,logs/013_pair_math___smart.integral.bottom__smart.plus.001_r1.log
14,pair,math___smart.contourIntegral+_smart.quadrupleIntegral,1,1685,2,2.914,ok,290624,logs/014_pair_math___smart.contourIntegral__smart.quadrupleIntegral_r1.log
15,pair,math___smart.circle+_smart.quadrupleIntegral,1,1689,2,2.935,ok,291940,logs/015_pair_math___smart.circle__smart.quadrupleIntegral_r1.log
16,pair,math___smart.contourIntegral+_smart.integral.top,1,1686,2,2.922,ok,290624,logs/016_pair_math___smart.contourIntegral__smart.integral.top_r1.log
17,pair,math___smart.circle+_smart.plus.circled,1,1689,2,2.981,ok,291940,logs/017_pair_math___smart.circle__smart.plus.circled_r1.log
